DISTNAME,CAMPNAME,CAMPUS,CLASS
HARMONY ISD,HARMONY MIDDLE,230905041,Middle
HARMONY ISD,JAMES POOLE EL,230905101,Elementary
HARPER ISD,HARPER EL,86902101,Elementary
HARPER ISD,HARPER H S,86902001,Secondary
HARPER ISD,HARPER MIDDLE,86902041,Middle
HARROLD ISD,HARROLD SCHOOL,244901001,Both Elem/Sec
HART ISD,HART EL,35902101,Elementary
HART ISD,HART JR-SR H S,35902001,Secondary
HARTLEY ISD,HARTLEY SCHOOL,103902001,Both Elem/Sec
HARTS BLUFF ISD,HARTS BLUFF EL,225907101,Elementary
HASKELL CISD,HASKELL EL,104901101,Elementary
HASKELL CISD,HASKELL H S,104901001,Secondary
HAWKINS ISD,HAWKINS EL,250902101,Elementary
HAWKINS ISD,HAWKINS H S,250902001,Secondary
HAWKINS ISD,HAWKINS MIDDLE,250902041,Middle
HAWKINS ISD,LAKE COUNTRY ALTER,250902002,Secondary
HAWLEY ISD,HAWLEY EL,127904101,Elementary
HAWLEY ISD,HAWLEY H S,127904001,Secondary
HAYS CONS ISD,ALTER SCH,105906002,Secondary
HAYS CONS ISD,BUDA EL,105906102,Elementary
HAYS CONS ISD,DAHLSTROM INT,105906105,Elementary
HAYS CONS ISD,GREEN EL,105906103,Elementary
HAYS CONS ISD,JACK C HAYS H S,105906001,Secondary
HAYS CONS ISD,KYLE EL,105906101,Both Elem/Sec
HAYS CONS ISD,KYLE INT,105906104,Elementary
HAYS CONS ISD,R C BARTON J H,105906041,Middle
HAYS CONS ISD,SP ED FACILITY,105906080,Both Elem/Sec
HEARNE ISD,BLACKSHEAR EL,198905103,Elementary
HEARNE ISD,EAST SIDE EL,198905102,Elementary
HEARNE ISD,HEARNE H S,198905002,Secondary
HEARNE ISD,HEARNE J H,198905042,Middle
HEDLEY ISD,HEDLEY SCHOOL,65902001,Both Elem/Sec
HEMPHILL ISD,HEMPHILL EL,202903101,Elementary
HEMPHILL ISD,HEMPHILL H S,202903001,Secondary
HEMPSTEAD ISD,HEMPSTEAD EL,237902101,Elementary
HEMPSTEAD ISD,HEMPSTEAD H S,237902001,Secondary
HEMPSTEAD ISD,HEMPSTEAD J H,237902041,Middle
HEMPSTEAD ISD,HEMPSTEAD MIDDLE,237902102,Middle
HENDERSON ISD,ALTER SCH,201902002,Both Elem/Sec
HENDERSON ISD,CENTRAL EL,201902101,Elementary
HENDERSON ISD,CHAMBERLAIN EL,201902102,Elementary
HENDERSON ISD,HENDERSON H S,201902001,Secondary
HENDERSON ISD,HENDERSON KIND,201902107,Elementary
HENDERSON ISD,HENDERSON MIDDLE,201902041,Middle
HENDERSON ISD,MONTGOMERY EL,201902106,Elementary
HENDERSON ISD,NORTHSIDE EL,201902108,Elementary
HENRIETTA ISD,HENRIETTA EL,39902101,Elementary
HENRIETTA ISD,HENRIETTA H S,39902001,Secondary
HENRIETTA ISD,HENRIETTA J H,39902041,Middle
HEREFORD ISD,AIKMAN EL,59901101,Elementary
HEREFORD ISD,BLUEBONNET EL,59901102,Elementary
HEREFORD ISD,HEREFORD H S,59901001,Secondary
HEREFORD ISD,HEREFORD J H,59901042,Middle
HEREFORD ISD,NORTHWEST EL,59901104,Elementary
HEREFORD ISD,SHIRLEY EL,59901105,Both Elem/Sec
HEREFORD ISD,SPECIAL PROGRAMS CTR,59901040,Elementary
HEREFORD ISD,TIERRA BLANCA EL,59901106,Elementary
HEREFORD ISD,WEST CENTRAL EL,59901103,Elementary
HERMLEIGH ISD,HERMLEIGH SCHOOL,208901001,Both Elem/Sec
HICO ISD,HICO EL,97903101,Elementary
HICO ISD,HICO H S,97903001,Secondary
HIDALGO ISD,DIAZ J H,108905041,Middle
HIDALGO ISD,HIDALGO EL,108905101,Elementary
HIDALGO ISD,HIDALGO H S,108905001,Secondary
HIDALGO ISD,KELLY EL,108905102,Elementary
HIGGINS ISD,HIGGINS SCHOOL,148903001,Both Elem/Sec
HIGH ISLAND ISD,HIGH ISLAND EL,84903101,Elementary
HIGH ISLAND ISD,HIGH ISLAND H S,84903001,Secondary
HIGHLAND ISD,HIGHLAND SCHOOL,177905001,Both Elem/Sec
HIGHLAND PARK ISD,ARMSTRONG EL,57911101,Elementary
HIGHLAND PARK ISD,BRADFIELD EL,57911102,Elementary
HIGHLAND PARK ISD,HIGHLAND PARK EL,188903101,Elementary
HIGHLAND PARK ISD,HIGHLAND PARK H S,57911001,Secondary
HIGHLAND PARK ISD,HIGHLAND PARK H S,188903001,Secondary
HIGHLAND PARK ISD,HIGHLAND PARK J H,57911041,Middle
HIGHLAND PARK ISD,HYER EL,57911103,Elementary
HIGHLAND PARK ISD,MCCULLOCH INT,57911105,Middle
HIGHLAND PARK ISD,UNIVERSITY PARK EL,57911104,Elementary
HILLSBORO ISD,FRANKLIN EL,109904101,Elementary
HILLSBORO ISD,HARRIS CAREER CTR,109904107,Both Elem/Sec
HILLSBORO ISD,HILLSBORO EL,109904104,Elementary
HILLSBORO ISD,HILLSBORO H S,109904001,Secondary
HILLSBORO ISD,HILLSBORO J H,109904041,Middle
HITCHCOCK ISD,A E C,84908002,Secondary
HITCHCOCK ISD,CROSBY MIDDLE,84908042,Middle
HITCHCOCK ISD,HITCHCOCK H S,84908001,Secondary
HITCHCOCK ISD,NORTHSIDE EL,84908102,Elementary
HITCHCOCK ISD,STEWART EL,84908103,Elementary
HOLLAND ISD,BOWMAN MIDDLE,14905041,Middle
HOLLAND ISD,HOLLAND EL,14905101,Elementary
HOLLAND ISD,HOLLAND H S,14905001,Secondary
HOLLIDAY ISD,HOLLIDAY EL,5902101,Elementary
HOLLIDAY ISD,HOLLIDAY H S,5902001,Secondary
HOLLIDAY ISD,HOLLIDAY MIDDLE,5902041,Middle
HONDO ISD,DETENTION CTR,163904104,Secondary
HONDO ISD,HONDO H S,163904001,Secondary
HONDO ISD,MCDOWELL J H,163904041,Middle
HONDO ISD,MEYER EL,163904102,Elementary
HONDO ISD,NURSING HOME,163904103,Both Elem/Sec
HONEY GROVE ISD,HONEY GROVE EL,74907101,Elementary
HONEY GROVE ISD,HONEY GROVE H S,74907001,Secondary
HONEY GROVE ISD,HONEY GROVE MIDDLE,74907041,Middle
HOOKS ISD,HOOKS EL,19902102,Elementary
HOOKS ISD,HOOKS H S,19902002,Secondary
HOOKS ISD,HOOKS J H,19902041,Middle
HOUSTON ISD,A A MILNE EL,101912299,Elementary
HOUSTON ISD,A B C CTR,101912069,Both Elem/Sec
HOUSTON ISD,ALCOTT EL,101912102,Elementary
HOUSTON ISD,ALLEN EL,101912103,Elementary
HOUSTON ISD,ALMEDA EL,101912104,Elementary
HOUSTON ISD,ANDERSON EL,101912105,Elementary
HOUSTON ISD,ASHFORD EL,101912273,Elementary
HOUSTON ISD,ASKEW EL,101912274,Elementary
HOUSTON ISD,ATHERTON EL,101912106,Elementary
HOUSTON ISD,ATTUCKS MIDDLE,101912041,Middle
HOUSTON ISD,AUSTIN H S,101912001,Secondary
HOUSTON ISD,BARBARA BUSH EL,101912275,Elementary
HOUSTON ISD,BARBARA JORDAN H S,101912033,Secondary
HOUSTON ISD,BARRICK EL,101912107,Elementary
HOUSTON ISD,BASTIAN EL,101912108,Elementary
HOUSTON ISD,BELL EL,101912151,Elementary
HOUSTON ISD,BELLAIRE H S,101912002,Secondary
HOUSTON ISD,BENAVIDEZ EL,101912295,Elementary
HOUSTON ISD,BENBROOK EL,101912268,Elementary
HOUSTON ISD,BERRY EL,101912109,Elementary
HOUSTON ISD,BLACK MIDDLE,101912042,Middle
HOUSTON ISD,BLACKSHEAR EL,101912110,Elementary
HOUSTON ISD,BONHAM EL,101912111,Elementary
HOUSTON ISD,BONNER EL,101912112,Elementary
HOUSTON ISD,BOWIE EL,101912113,Elementary
HOUSTON ISD,BRAEBURN EL,101912114,Elementary
HOUSTON ISD,BRIARGROVE EL,101912116,Elementary
HOUSTON ISD,BRISCOE EL,101912117,Elementary
HOUSTON ISD,BROCK EL,101912118,Elementary
HOUSTON ISD,BROOKLINE EL,101912119,Elementary
HOUSTON ISD,BROWNING EL,101912120,Elementary
HOUSTON ISD,BRUCE EL,101912121,Elementary
HOUSTON ISD,BURBANK EL,101912122,Elementary
HOUSTON ISD,BURBANK MIDDLE,101912043,Middle
HOUSTON ISD,BURNET BAYLAND H S,101912035,Both Elem/Sec
HOUSTON ISD,BURNET EL,101912124,Elementary
HOUSTON ISD,BURRUS EL,101912125,Elementary
HOUSTON ISD,CAGE EL,101912287,Elementary
HOUSTON ISD,CARNEGIE EL,101912127,Elementary
HOUSTON ISD,CARRILLO EL,101912292,Elementary
HOUSTON ISD,CHATHAM EL,101912261,Elementary
HOUSTON ISD,CHRYSALIS MIDDLE,101912071,Middle
HOUSTON ISD,CLIFTON MIDDLE,101912048,Middle
HOUSTON ISD,CLINTON PARK EL,101912129,Elementary
HOUSTON ISD,CODWELL EL,101912123,Elementary
HOUSTON ISD,COMMUNITY SERVICES-SEC,101912013,Both Elem/Sec
HOUSTON ISD,CONCORD EL,101912270,Elementary
HOUSTON ISD,CONDIT EL,101912130,Elementary
HOUSTON ISD,CONTEMPORARY LRN CTR H S,101912029,Both Elem/Sec
HOUSTON ISD,COOP EL,101912132,Elementary
HOUSTON ISD,CORNELIUS EL,101912133,Elementary
HOUSTON ISD,CRAWFORD EL,101912134,Elementary
HOUSTON ISD,CRESPO EL,101912290,Elementary
HOUSTON ISD,CROCKETT EL,101912135,Elementary
HOUSTON ISD,CULLEN MIDDLE,101912044,Middle
HOUSTON ISD,CUNNINGHAM EL,101912136,Elementary
HOUSTON ISD,DAVILA EL,101912297,Elementary
HOUSTON ISD,DAVIS H S,101912003,Secondary
HOUSTON ISD,DEADY MIDDLE,101912045,Middle
HOUSTON ISD,DECHAUMES EL,101912137,Elementary
HOUSTON ISD,DEZAVALA EL,101912138,Elementary
HOUSTON ISD,DODSON EL,101912139,Elementary
HOUSTON ISD,DOGAN EL,101912140,Elementary
HOUSTON ISD,DOUGLASS EL,101912141,Elementary
HOUSTON ISD,DOWLING MIDDLE,101912075,Middle
HOUSTON ISD,DURHAM EL,101912115,Elementary
HOUSTON ISD,DURKEE EL,101912144,Elementary
HOUSTON ISD,E O SMITH EL,101912266,Elementary
HOUSTON ISD,EASTER EL,101912145,Elementary
HOUSTON ISD,ED LRN ENRICHMENT CTR,101912065,Secondary
HOUSTON ISD,EDISON MIDDLE,101912046,Middle
HOUSTON ISD,EIGHTH AVE EL,101912146,Elementary
HOUSTON ISD,ELIOT EL,101912147,Elementary
HOUSTON ISD,ELROD EL,101912148,Elementary
HOUSTON ISD,EMERSON EL,101912149,Elementary
HOUSTON ISD,EMPLOYMENT TRAINING CTR,101912091,Secondary
HOUSTON ISD,FAIRCHILD EL,101912150,Elementary
HOUSTON ISD,FIELD EL,101912152,Elementary
HOUSTON ISD,FLEMING MIDDLE,101912078,Middle
HOUSTON ISD,FLORENCE CRITTENTON CTR,101912021,Both Elem/Sec
HOUSTON ISD,FOERSTER EL,101912271,Elementary
HOUSTON ISD,FOLEY'S ACAD,101912022,Secondary
HOUSTON ISD,FONDREN EL,101912153,Elementary
HOUSTON ISD,FONDREN MIDDLE,101912072,Middle
HOUSTON ISD,FONVILLE MIDDLE,101912047,Middle
HOUSTON ISD,FOSTER EL,101912154,Elementary
HOUSTON ISD,FRANKLIN EL,101912155,Elementary
HOUSTON ISD,FROST EL,101912156,Elementary
HOUSTON ISD,FURR H S,101912004,Secondary
HOUSTON ISD,GALLEGOS EL,101912291,Elementary
HOUSTON ISD,GARCIA EL,101912283,Elementary
HOUSTON ISD,GARDEN OAKS EL,101912157,Elementary
HOUSTON ISD,GARDEN VILLAS EL,101912158,Elementary
HOUSTON ISD,GOLF SHORES ALTER,101912087,Secondary
HOUSTON ISD,GOLFCREST EL,101912159,Elementary
HOUSTON ISD,GORDON EL,101912160,Elementary
HOUSTON ISD,GRADY MIDDLE,101912068,Middle
HOUSTON ISD,GREGG EL,101912162,Elementary
HOUSTON ISD,GREGORY-LINCOLN ED CTR,101912058,Middle
HOUSTON ISD,GREGORY-LINCOLN ED CTR,101912282,Elementary
HOUSTON ISD,GRIMES EL,101912164,Elementary
HOUSTON ISD,GRISSOM EL,101912262,Elementary
HOUSTON ISD,H C C-ALTER,101912088,Secondary
HOUSTON ISD,H P CARTER H S,101912038,Both Elem/Sec
HOUSTON ISD,HAMILTON MIDDLE,101912049,Middle
HOUSTON ISD,HARPER SCH,101912094,Secondary
HOUSTON ISD,HARRIS CO YOUTH VILL,101912031,Both Elem/Sec
HOUSTON ISD,HARRIS J R EL,101912166,Elementary
HOUSTON ISD,HARRIS R P EL,101912167,Elementary
HOUSTON ISD,HARTMAN MIDDLE,101912051,Middle
HOUSTON ISD,HARTSFIELD EL,101912168,Elementary
HOUSTON ISD,HARVARD EL,101912169,Elementary
HOUSTON ISD,HCC LIFE SKILLS PROG,101912097,Secondary
HOUSTON ISD,HEALTH PROFESSIONS H S,101912026,Secondary
HOUSTON ISD,HELMS EL,101912170,Elementary
HOUSTON ISD,HENDERSON J EL,101912171,Elementary
HOUSTON ISD,HENDERSON N EL,101912172,Elementary
HOUSTON ISD,HEROD EL,101912173,Elementary
HOUSTON ISD,HERRERA EL,101912286,Elementary
HOUSTON ISD,HIGHLAND HTS EL,101912174,Elementary
HOUSTON ISD,HOBBY EL,101912175,Elementary
HOUSTON ISD,HOGG MIDDLE,101912053,Middle
HOUSTON ISD,HOHL EL,101912176,Elementary
HOUSTON ISD,HOLDEN EL,101912177,Elementary
HOUSTON ISD,HOLLAND MIDDLE,101912050,Middle
HOUSTON ISD,HORN EL,101912178,Elementary
HOUSTON ISD,HOUSTON GARDENS EL,101912179,Elementary
HOUSTON ISD,ISAACS EL,101912180,Elementary
HOUSTON ISD,JACKSON MIDDLE,101912054,Middle
HOUSTON ISD,JANOWSKI EL,101912181,Elementary
HOUSTON ISD,JEFFERSON EL,101912182,Elementary
HOUSTON ISD,JOHNSTON MIDDLE,101912055,Middle
HOUSTON ISD,JONES ANSON EL,101912183,Elementary
HOUSTON ISD,JONES H S,101912006,Secondary
HOUSTON ISD,JONES J WILL EL,101912184,Elementary
HOUSTON ISD,JUVENILE DETENT CTR,101912037,Both Elem/Sec
HOUSTON ISD,K I P P,101912278,Elementary
HOUSTON ISD,KASHMERE GARDENS EL,101912185,Elementary
HOUSTON ISD,KASHMERE H S,101912007,Secondary
HOUSTON ISD,KAY ON-GOING ED CTR,101912030,Secondary
HOUSTON ISD,KELSO EL,101912187,Elementary
HOUSTON ISD,KENNEDY EL,101912188,Elementary
HOUSTON ISD,KEY MIDDLE,101912079,Elementary
HOUSTON ISD,KOLTER EL,101912189,Elementary
HOUSTON ISD,L E A P,101912089,Secondary
HOUSTON ISD,LAMAR EL,101912190,Elementary
HOUSTON ISD,LAMAR H S,101912008,Secondary
HOUSTON ISD,LANGSTON FAMILY LIFE CTR,101912191,Elementary
HOUSTON ISD,LANIER MIDDLE,101912057,Middle
HOUSTON ISD,LANTRIP EL,101912192,Elementary
HOUSTON ISD,LAS AMERICAS PRI,101912284,Elementary
HOUSTON ISD,LAW EL,101912263,Elementary
HOUSTON ISD,LAW ENFCMT-CRIM JUST H S,101912034,Secondary
HOUSTON ISD,LEE EL,101912193,Elementary
HOUSTON ISD,LEE H S,101912009,Secondary
HOUSTON ISD,LEWIS EL,101912194,Elementary
HOUSTON ISD,LOCKHART EL,101912195,Elementary
HOUSTON ISD,LONG MIDDLE,101912059,Middle
HOUSTON ISD,LONGFELLOW EL,101912196,Elementary
HOUSTON ISD,LOOSCAN EL,101912197,Elementary
HOUSTON ISD,LOVE EL,101912198,Elementary
HOUSTON ISD,LOVETT EL,101912199,Elementary
HOUSTON ISD,LYONS EL,101912128,Elementary
HOUSTON ISD,M C T C,101912084,Secondary
HOUSTON ISD,M C WILLIAMS MIDDLE,101912082,Middle
HOUSTON ISD,MACARTHUR EL,101912272,Elementary
HOUSTON ISD,MACGREGOR EL,101912201,Elementary
HOUSTON ISD,MADING EL,101912203,Elementary
HOUSTON ISD,MADISON H S,101912010,Secondary
HOUSTON ISD,MARSHALL MIDDLE,101912061,Middle
HOUSTON ISD,MARTINEZ C EL,101912289,Elementary
HOUSTON ISD,MARTINEZ R EL,101912298,Elementary
HOUSTON ISD,MCCARDELL ACAD,101912095,Secondary
HOUSTON ISD,MCDADE EL,101912202,Elementary
HOUSTON ISD,MCNAMARA EL,101912227,Elementary
HOUSTON ISD,MCREYNOLDS MIDDLE,101912062,Middle
HOUSTON ISD,MEMORIAL EL,101912204,Elementary
HOUSTON ISD,MILAM EL,101912205,Elementary
HOUSTON ISD,MILBY H S,101912011,Secondary
HOUSTON ISD,MITCHELL EL,101912264,Elementary
HOUSTON ISD,MONTGOMERY EL,101912207,Elementary
HOUSTON ISD,NEFF EL,101912209,Elementary
HOUSTON ISD,NIGHT H S,101912032,Secondary
HOUSTON ISD,NORTHLINE EL,101912210,Elementary
HOUSTON ISD,OAK FOREST EL,101912211,Elementary
HOUSTON ISD,OATES EL,101912212,Elementary
HOUSTON ISD,OSBORNE EL,101912213,Elementary
HOUSTON ISD,PARK PLACE EL,101912214,Elementary
HOUSTON ISD,PARKER EL,101912215,Elementary
HOUSTON ISD,PATRICK HENRY MIDDLE,101912052,Middle
HOUSTON ISD,PATTERSON EL,101912216,Elementary
HOUSTON ISD,PECK EL,101912217,Elementary
HOUSTON ISD,PERFOR & VIS ARTS H S,101912025,Secondary
HOUSTON ISD,PERSHING MIDDLE,101912064,Middle
HOUSTON ISD,PETERSEN EL,101912265,Elementary
HOUSTON ISD,PILGRIM EL,101912218,Elementary
HOUSTON ISD,PINEY POINT EL,101912219,Elementary
HOUSTON ISD,PLEASANTVILLE EL,101912220,Elementary
HOUSTON ISD,POE EL,101912221,Elementary
HOUSTON ISD,PORT HOUSTON EL,101912222,Elementary
HOUSTON ISD,PUGH EL,101912223,Elementary
HOUSTON ISD,REAGAN H S,101912012,Secondary
HOUSTON ISD,RED EL,101912224,Elementary
HOUSTON ISD,RESIDENTIAL PLACEMENT,101912381,Elementary
HOUSTON ISD,REVERE MIDDLE,101912060,Middle
HOUSTON ISD,REYNOLDS EL,101912225,Elementary
HOUSTON ISD,RHOADS EL,101912226,Elementary
HOUSTON ISD,RICE SCH,101912080,Elementary
HOUSTON ISD,RIPLEY HOUSE ALTER,101912085,Middle
HOUSTON ISD,RIVER OAKS EL,101912228,Elementary
HOUSTON ISD,ROBERTS EL,101912229,Elementary
HOUSTON ISD,ROOSEVELT EL,101912231,Elementary
HOUSTON ISD,ROSS EL,101912232,Elementary
HOUSTON ISD,RUCKER EL,101912233,Elementary
HOUSTON ISD,RUSK EL,101912234,Elementary
HOUSTON ISD,RUSK MIDDLE,101912076,Middle
HOUSTON ISD,RYAN EL,101912235,Elementary
HOUSTON ISD,RYAN MIDDLE,101912066,Middle
HOUSTON ISD,SAM HOUSTON H S,101912005,Secondary
HOUSTON ISD,SANCHEZ EL,101912281,Elementary
HOUSTON ISD,SANCHEZ H S,101912028,Secondary
HOUSTON ISD,SANDERSON EL,101912236,Elementary
HOUSTON ISD,SCARBOROUGH EL,101912237,Elementary
HOUSTON ISD,SCARBOROUGH H S,101912024,Secondary
HOUSTON ISD,SCOTT EL,101912238,Elementary
HOUSTON ISD,SCROGGINS EL,101912269,Elementary
HOUSTON ISD,SHADOWBRIAR MIDDLE,101912083,Middle
HOUSTON ISD,SHARPSTOWN H S,101912023,Secondary
HOUSTON ISD,SHARPSTOWN MIDDLE,101912081,Middle
HOUSTON ISD,SHEARN EL,101912239,Elementary
HOUSTON ISD,SHERMAN EL,101912240,Elementary
HOUSTON ISD,SINCLAIR EL,101912241,Elementary
HOUSTON ISD,SKILL ENHANCEMENT CTR,101912092,Secondary
HOUSTON ISD,SMITH E O MIDDLE,101912067,Middle
HOUSTON ISD,SMITH EL,101912242,Elementary
HOUSTON ISD,SOUTHMAYD EL,101912244,Elementary
HOUSTON ISD,STERLING H S,101912014,Secondary
HOUSTON ISD,STEVENS EL,101912245,Elementary
HOUSTON ISD,STEVENSON EL,101912246,Elementary
HOUSTON ISD,STEVENSON MIDDLE,101912098,Middle
HOUSTON ISD,SUGAR GROVE EL,101912163,Elementary
HOUSTON ISD,SUNNY SIDE EL,101912247,Elementary
HOUSTON ISD,SUTTON EL,101912248,Elementary
HOUSTON ISD,T H ROGERS SEC,101912039,Both Elem/Sec
HOUSTON ISD,T S U/H I S D,101912277,Elementary
HOUSTON ISD,TERRELL ALTER MIDDLE,101912073,Middle
HOUSTON ISD,THOMAS MIDDLE,101912077,Middle
HOUSTON ISD,THOMPSON EL,101912243,Elementary
HOUSTON ISD,TIJERINA EL,101912279,Elementary
HOUSTON ISD,TRAVIS EL,101912249,Elementary
HOUSTON ISD,TURNER EL,101912250,Elementary
HOUSTON ISD,TWAIN EL,101912251,Elementary
HOUSTON ISD,WAINWRIGHT EL,101912252,Elementary
HOUSTON ISD,WALNUT BEND EL,101912253,Elementary
HOUSTON ISD,WALTRIP H S,101912015,Secondary
HOUSTON ISD,WASHINGTON B T H S,101912016,Secondary
HOUSTON ISD,WELCH MIDDLE,101912056,Both Elem/Sec
HOUSTON ISD,WESLEY EL,101912254,Elementary
HOUSTON ISD,WEST UNIVERSITY EL,101912255,Elementary
HOUSTON ISD,WESTBURY H S,101912017,Secondary
HOUSTON ISD,WHARTON EL,101912256,Elementary
HOUSTON ISD,WHEATLEY H S,101912018,Secondary
HOUSTON ISD,WHIDBY EL,101912257,Elementary
HOUSTON ISD,WHITE EL,101912267,Elementary
HOUSTON ISD,WHITTIER EL,101912258,Elementary
HOUSTON ISD,WILL ROGERS EL,101912230,Elementary
HOUSTON ISD,WILSON EL,101912259,Elementary
HOUSTON ISD,WINDSOR VILLAGE EL,101912260,Elementary
HOUSTON ISD,WOODSON MIDDLE,101912074,Middle
HOUSTON ISD,WORTHING H S,101912019,Secondary
HOUSTON ISD,Y E S,101912090,Secondary
HOUSTON ISD,YATES H S,101912020,Secondary
HOWE ISD,HOWE EL,91905101,Elementary
HOWE ISD,HOWE H S,91905001,Secondary
HOWE ISD,HOWE MIDDLE,91905041,Middle
HUBBARD ISD,EARLY CHILDHOOD ED,109905102,Elementary
HUBBARD ISD,HUBBARD EL,19913101,Elementary
HUBBARD ISD,HUBBARD EL,109905101,Elementary
HUBBARD ISD,HUBBARD H S,109905001,Secondary
HUBBARD ISD,HUBBARD MIDDLE,109905041,Middle
HUCKABAY ISD,HUCKABAY SCHOOL,72908001,Both Elem/Sec
HUDSON ISD,HUDSON EL,3902102,Elementary
HUDSON ISD,HUDSON H S,3902001,Secondary
HUDSON ISD,HUDSON J H,3902041,Middle
HUDSON ISD,HUDSON PRI,3902101,Elementary
HUFFMAN ISD,BOWEN EL,101925101,Elementary
HUFFMAN ISD,COPELAND INT,101925102,Elementary
HUFFMAN ISD,HARGRAVE H S,101925001,Secondary
HUFFMAN ISD,HUFFMAN MIDDLE,101925041,Middle
HUGHES SPRINGS ISD,HUGHES SPRINGS EL,34903101,Elementary
HUGHES SPRINGS ISD,HUGHES SPRINGS H S,34903001,Secondary
HUGHES SPRINGS ISD,HUGHES SPRINGS J H,34903041,Middle
HULL-DAISETTA ISD,HULL-DAISETTA EL,146905101,Elementary
HULL-DAISETTA ISD,HULL-DAISETTA H S,146905001,Secondary
HULL-DAISETTA ISD,HULL-DAISETTA J H,146905041,Middle
HUMBLE ISD,ATASCOCITA MIDDLE,101913044,Middle
HUMBLE ISD,BEAR BRANCH EL,101913106,Elementary
HUMBLE ISD,CREEKWOOD MIDDLE,101913043,Middle
HUMBLE ISD,DEERWOOD EL,101913112,Elementary
HUMBLE ISD,EARLY LEARNING WING,101913120,Elementary
HUMBLE ISD,ELM GROVE EL,101913107,Elementary
HUMBLE ISD,FOSTER EL,101913104,Elementary
HUMBLE ISD,GREENTREE EL,101913109,Elementary
HUMBLE ISD,HIDDEN HOLLOW EL,101913114,Elementary
HUMBLE ISD,HUMBLE DISCIPLINE PROGRAM,101913020,Secondary
HUMBLE ISD,HUMBLE EL,101913101,Elementary
HUMBLE ISD,HUMBLE H S,101913001,Secondary
HUMBLE ISD,HUMBLE MIDDLE,101913041,Middle
HUMBLE ISD,JACK M FIELDS SR EL,101913117,Elementary
HUMBLE ISD,KINGWOOD H S,101913002,Secondary
HUMBLE ISD,KINGWOOD MIDDLE,101913042,Middle
HUMBLE ISD,LAKELAND EL,101913102,Elementary
HUMBLE ISD,NORTH BELT EL,101913103,Elementary
HUMBLE ISD,OAK FOREST EL,101913118,Elementary
HUMBLE ISD,OAKS EL,101913108,Elementary
HUMBLE ISD,PINEFOREST EL,101913111,Elementary
HUMBLE ISD,QUEST H S,101913005,Secondary
HUMBLE ISD,RIVERWOOD MIDDLE,101913045,Middle
HUMBLE ISD,SHADOW FOREST EL,101913116,Elementary
HUMBLE ISD,TIMBERS EL,101913110,Elementary
HUMBLE ISD,WHISPERING PINES EL,101913115,Elementary
HUMBLE ISD,WILLOW CREEK EL,101913113,Elementary
HUMBLE ISD,WOODLAND HILLS EL,101913105,Elementary
HUNT ISD,HUNT EL,133902101,Elementary
HUNTINGTON ISD,HUNTINGTON EL,3904101,Elementary
HUNTINGTON ISD,HUNTINGTON H S,3904001,Both Elem/Sec
HUNTINGTON ISD,HUNTINGTON INT,3904102,Middle
HUNTINGTON ISD,HUNTINGTON MIDDLE,3904041,Middle
HUNTINGTON ISD,PRIDE ALTER SCH,3904005,Secondary
HUNTSVILLE ISD,CHALLENGE PROGRAM,236902004,Both Elem/Sec
HUNTSVILLE ISD,GIBBS EL,236902102,Elementary
HUNTSVILLE ISD,HUNTSVILLE C A R E PROG,236902107,Elementary
HUNTSVILLE ISD,HUNTSVILLE EL,236902106,Elementary
HUNTSVILLE ISD,HUNTSVILLE H S,236902002,Secondary
HUNTSVILLE ISD,HUNTSVILLE INT,236902041,Middle
HUNTSVILLE ISD,MANCE PARK MIDDLE,236902042,Middle
HUNTSVILLE ISD,SAMUEL HOUSTON EL,236902103,Elementary
HUNTSVILLE ISD,SCOTT JOHNSON EL,236902104,Elementary
HUNTSVILLE ISD,STEWART EL,236902101,Elementary
HURST-EULESS-BEDFORD ISD,BEDFORD HEIGHTS EL,220916119,Elementary
HURST-EULESS-BEDFORD ISD,BEDFORD J H,220916044,Middle
HURST-EULESS-BEDFORD ISD,BELL H S,220916001,Secondary
HURST-EULESS-BEDFORD ISD,BELL MANOR EL,220916116,Elementary
HURST-EULESS-BEDFORD ISD,BELLAIRE EL,220916102,Elementary
HURST-EULESS-BEDFORD ISD,CENTRAL J H,220916041,Middle
HURST-EULESS-BEDFORD ISD,DONNA PARK EL,220916113,Elementary
HURST-EULESS-BEDFORD ISD,EULESS J H,220916042,Middle
HURST-EULESS-BEDFORD ISD,HARRISON LANE EL,220916103,Elementary
HURST-EULESS-BEDFORD ISD,HARWOOD J H,220916045,Middle
HURST-EULESS-BEDFORD ISD,HOMEBOUND,220916303,Both Elem/Sec
HURST-EULESS-BEDFORD ISD,HURST HILLS EL,220916115,Elementary
HURST-EULESS-BEDFORD ISD,HURST J H,220916043,Middle
HURST-EULESS-BEDFORD ISD,KEYS CTR,220916005,Secondary
HURST-EULESS-BEDFORD ISD,LAKEWOOD EL,220916118,Elementary
HURST-EULESS-BEDFORD ISD,MEADOW CREEK EL,220916122,Elementary
HURST-EULESS-BEDFORD ISD,MIDWAY PARK EL,220916114,Elementary
HURST-EULESS-BEDFORD ISD,NORTH EULESS EL,220916105,Elementary
HURST-EULESS-BEDFORD ISD,OAKWOOD TERRACE EL,220916106,Elementary
HURST-EULESS-BEDFORD ISD,SHADY BROOK EL,220916117,Elementary
HURST-EULESS-BEDFORD ISD,SHADY OAKS EL,220916107,Elementary
